,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
0,Canis lupus arctos,mammalia,carnivora,canidae,1,0,12,50,51,1,0,1,0,62,6,180,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Vulpes lagopus,mammalia,carnivora,canidae,1,0,8.5,53.5,5,0,0,0,0,52,12.5,101.5,0,0,1,1,0,0,0,0,0,0,1,0,0
2,Tamiasciurus hudsonicus,mammalia,rodentia,sciuridae,1,0,7.5,32.5,0.2395,0,0,2,1,34,4.5,52.5,0,0,0,0,0,0,0,0,1,1,1,1,0
3,Canis lupus,mammalia,carnivora,canidae,1,0,15,132.5,38,1,1,1,0,61.5,7.5,45,1,0,1,1,0,0,0,0,1,1,1,1,0
4,Mustela erminea,mammalia,carnivora,mustelidae,1,0,6.5,247.5,0.219,0,1,1,1,280,10.5,63,0,0,1,1,1,0,0,0,1,0,1,1,0
5,Chlamyphorus truncatus,mammalia,cingulata,chlamyphoridae,1,0,7,102.5,0.12,0,1,0,1,102.5,1,55.5,0,0,0,0,0,0,0,0,0,1,0,1,0
6,Elephas maximus sumatranus,mammalia,proboscidea,elephantidae,1,1,70,550,3000,1,1,2,1,600,1,1095,0,0,1,0,0,0,0,0,0,0,0,0,1
7,Oryx leucoryx,mammalia,artiodactyla,bovidae,1,1,20,160,67.5,1,0,2,1,240,1,105,1,0,1,0,0,0,0,0,0,1,0,1,0
8,Sus scrofa domesticus,mammalia,artiodactyla,suidae,1,0,10.5,540,200,1,0,0,0,114,12,90,1,1,1,1,1,1,1,1,1,1,0,1,1
9,Lemur catta,mammalia,primates,lemuridae,0,1,24,108.5648855,2.5,1,0,0,1,120,1.5,150,1,0,0,0,0,0,0,0,0,1,0,0,1
10,Elephas maximus,mammalia,proboscidea,elephantidae,0,1,70,550,3000,1,0,2,1,600,1,540,0,0,1,0,0,0,0,0,0,0,0,0,1
11,Canis lupus baileyi,mammalia,carnivora,canidae,1,1,12.5,144.5,31.5,1,1,1,0,63,5.5,35,0,0,0,0,0,0,0,0,0,0,0,1,1
12,Galeopterus variegatus,mammalia,dermoptera,cynocephalidae,0,0,17,37.5,0.5,0,1,2,1,60,1.5,180,0,0,1,0,0,0,0,0,0,0,0,0,1
13,Bos taurus,mammalia,artiodactyla,bovidae,1,0,18.5,297.2413793,650,1,0,2,1,270,1,180,1,1,1,1,1,1,1,1,1,0,0,1,0
14,Loxodonta africana,mammalia,proboscidea,elephantidae,2,1,65,550,2900,1,0,2,1,2,1,2190,1,0,0,0,0,0,0,0,0,0,0,1,1
15,Vulpes zerda,mammalia,carnivora,canidae,1,0,11,32.5,0.5,1,1,0,0,50,3,65,1,0,0,0,0,0,0,0,0,1,0,0,0
16,Rhinopithecus roxellana,mammalia,primates,cercopithecidae,0,1,26,66.5,22.5,1,0,2,1,210,1,365,0,0,1,0,0,0,0,0,1,0,0,1,0
17,Urocyon cinereoargenteus,mammalia,carnivora,canidae,1,0,7,94,5,0,1,0,0,122.66,4.5,300,0,0,0,0,0,0,0,0,1,1,0,1,1
18,Macaca fuscata,mammalia,primates,cercopithecidae,1,0,19,108.5648855,9.5,1,0,0,1,180,1,730,0,0,1,0,0,0,0,0,1,0,0,1,0
19,Sus scrofa,mammalia,artiodactyla,suidae,1,0,14.5,196.5,127.5,1,1,0,1,114,5,210,1,0,1,1,1,0,0,0,1,1,0,1,1
20,Cervus elaphus,mammalia,artiodactyla,cervidae,2,0,20,205,180,0,0,2,1,251,1,60,1,0,1,1,1,0,0,0,1,1,0,1,0
21,Neovison vison,mammalia,carnivora,mustelidae,1,0,10,38,0.2005,0,1,1,1,57.5,4.5,30,0,0,1,1,0,0,0,0,1,1,1,1,0
22,Acerodon jubatus,mammalia,chiroptera,pteropodidae,0,1,17.5,234,1.125,1,1,2,1,133.2368421,1,153.5625,0,0,1,0,0,0,0,0,0,0,0,1,1
23,Elephas maximus borneensis,mammalia,proboscidea,elephantidae,0,1,62.5,550,2900,1,0,2,1,615,1,1277.5,1,1,1,1,1,1,1,1,0,0,0,0,1
24,Hyaena brunnea,mammalia,carnivora,hyaenidae,1,0,12.5,145,41,1,1,1,1,90,2.5,450,1,0,0,0,0,0,0,0,0,1,0,1,0
25,Ceratotherium simum,mammalia,perissodactyla,rhinocerotidae,2,0,47.5,350,2520,1,0,2,1,480,1,912.5,1,0,0,0,0,0,0,0,0,1,0,1,1
26,Cervus nippon,mammalia,artiodactyla,cervidae,2,0,18.5,137.5,67.5,1,1,2,1,210,1,365,1,0,1,1,1,0,0,0,1,0,0,1,0
27,Hemicentetes semispinosus,mammalia,afrosoricida,tenrecidae,1,0,2,14,0.2,1,0,3,1,59,6.5,21.5,1,0,0,0,0,0,0,0,0,0,0,1,1
28,Odocoileus virginianus,mammalia,artiodactyla,cervidae,1,0,13,150,96,0,0,2,1,180,1.5,547.5,0,0,0,1,1,0,0,0,0,1,0,1,1
29,Antilope cervicapra,mammalia,artiodactyla,bovidae,1,0,12.5,125,38.5,1,0,2,1,180,1,365,0,0,1,0,0,0,0,0,0,1,0,1,1
30,Dolichotis patagonum,mammalia,rodentia,caviidae,0,0,8.5,72,12,1,0,2,0,90,2,76.5,0,0,0,0,0,0,0,0,0,1,0,1,0
31,Vulpes vulpes,mammalia,carnivora,canidae,1,0,10,67.5,8.5,1,0,0,0,60,5.5,210,1,0,1,1,1,0,0,0,1,0,0,1,0
32,Setonix brachyurus,mammalia,diprotodontia,macropodidae,0,1,7.5,47,3.5,1,1,2,1,30,1,273,0,0,0,0,1,0,0,0,0,0,0,1,0
33,Ovis orientalis,mammalia,artiodactyla,bovidae,0,1,10,297.2413793,90,1,0,2,1,150,1,165,0,0,1,0,0,0,0,0,0,1,0,1,0
34,Pteropus giganteus,mammalia,chiroptera,pteropodidae,0,0,23,23,1.1,1,1,2,1,145,1.5,150,0,0,1,0,0,0,0,0,0,1,0,1,1
35,Elaphodus cephalophus,mammalia,artiodactyla,cervidae,0,0,9.5,135,33.5,0,0,2,1,180,1.5,180,0,0,1,0,0,0,0,0,0,0,0,1,0
36,Neovison macrodon,mammalia,carnivora,mustelidae,1,1,8,78.5,62.73570161,0,0,1,1,34,7.5,94.5,0,0,0,0,0,0,0,0,1,0,0,0,0
37,Panthera leo,mammalia,carnivora,felidae,0,1,18.5,195,184.5,1,1,1,1,114.5,4.5,730,1,0,1,0,0,0,0,0,0,1,0,1,1
38,Sciurus carolinensis,mammalia,rodentia,sciuridae,2,0,16,26.5,0.5,1,0,0,1,42,2.5,70,1,0,0,1,0,0,0,0,1,1,0,1,1
39,Pteromys momonga,mammalia,rodentia,sciuridae,1,0,9.5,17,0.185,1,1,2,1,28,2.5,42,0,0,1,0,0,0,0,0,1,0,0,1,0
40,Canis lupus occidentalis,mammalia,carnivora,canidae,1,0,16.03571429,63,51,1,1,1,0,63,5,206.2866242,0,0,0,0,0,0,0,0,1,0,1,1,0
41,Herpestes edwardsii,mammalia,carnivora,herpestidae,1,0,9,40.5,0.5,0,0,0,1,60,3,180,0,0,1,0,0,0,0,0,0,1,0,1,1
42,Tamiasciurus douglasii,mammalia,rodentia,sciuridae,1,0,5.5,312.5,0.2265,0,0,2,0,31.5,5,165,0,0,0,0,0,0,0,0,1,0,0,1,0
43,Lynx rufus,mammalia,carnivora,felidae,1,0,18.5,86,11,0,1,1,1,65,3,240,0,0,0,0,0,0,0,0,1,1,0,1,0
44,Lama guanicoe,mammalia,artiodactyla,camelidae,2,0,22.5,297.2413793,113,1,0,2,1,330,1,390,0,0,0,0,0,0,0,0,0,1,1,1,0
45,Macaca silenus,mammalia,primates,cercopithecidae,0,1,29,50.5,6.5,1,0,0,1,180,1,365,0,0,1,0,0,0,0,0,0,0,0,0,1
46,Acinonyx jubatus,mammalia,carnivora,felidae,0,1,15,131,46.5,1,0,1,1,90,3.5,547.5,1,0,1,0,0,0,0,0,0,1,0,1,1
47,Canis anthus,mammalia,carnivora,canidae,1,0,8,107.0564516,11,1,0,0,0,122.66,3.127071823,206.2866242,1,1,1,1,1,1,1,1,0,1,0,1,1
